,NAME,GENDER,EMAIL_ID,IS_GLOGIN,FOLLOWER_COUNT,FOLLOWING_COUNT,DATASET_COUNT,CODE_COUNT,DISCUSSION_COUNT,AVG_NB_READ_TIME_MIN,REGISTRATION_IPV4,REGISTRATION_LOCATION,TOTAL_VOTES_GAVE_NB,TOTAL_VOTES_GAVE_DS,TOTAL_VOTES_GAVE_DC,ISBOT
0,Johnny KerrThomas,Male,jacksonalan@example.com,False,53.0,87.0,5.0,3.0,124.0,,81.88.75.170,Argentina,16.0,10.0,3.0,
1,Dwayne LarsenLara,Male,calvin80@example.com,True,16.0,67.0,5.0,,26.0,24.97,,New Zealand,14.0,5.0,2.0,
2,,Male,qbrown@example.net,True,44.0,81.0,4.0,17.0,125.0,7.75,159.202.103.178,Costa Rica,16.0,4.0,0.0,False
3,Russell SimmonsPhillips,Male,kimberlywagner@example.com,True,23.0,114.0,5.0,24.0,67.0,13.4,196.11.132.51,Italy,21.0,10.0,1.0,False
4,Jamie WilsonMartinez,Female,shaunbrooks@example.com,False,46.0,112.0,2.0,12.0,63.0,24.83,159.196.199.20,Belgium,10.0,6.0,2.0,False
5,Elijah ParkNeal,Male,mpearson@example.org,False,2.0,2.0,0.0,0.0,0.0,0.62,72.175.201.72,French Polynesia,18.0,9.0,2.0,True
6,Logan ZimmermanGallagher,Male,sparkschristy@example.org,,46.0,36.0,0.0,16.0,77.0,22.32,133.206.76.136,South Georgia and the South Sandwich Islands,,9.0,1.0,False
7,Erin HerreraKing,Female,,False,2.0,1.0,0.0,0.0,6.0,1.85,39.214.115.81,Antarctica (the territory South of 60 deg S),21.0,3.0,1.0,True
8,Matthew RobertsGreer,Male,harrisregina@example.org,True,50.0,25.0,1.0,7.0,122.0,,192.177.30.226,,,7.0,3.0,False
9,Michael StoutGraves,Male,klopez@example.net,True,65.0,99.0,7.0,19.0,93.0,8.79,68.230.133.41,Saint Lucia,24.0,7.0,2.0,False
10,Gregory GarzaWilson,Male,todd84@example.com,False,,44.0,4.0,5.0,93.0,27.69,221.101.88.165,Martinique,23.0,8.0,3.0,
11,William ValenciaBaldwin,Male,jmyers@example.com,False,70.0,18.0,0.0,23.0,102.0,19.72,204.114.164.150,Aruba,,3.0,1.0,
12,Mark RobinsonDaniel,Male,ujarvis@example.net,False,70.0,14.0,5.0,19.0,75.0,12.17,187.55.60.189,Djibouti,13.0,3.0,2.0,False
13,Nicole WuOrozco,Female,turneraaron@example.com,False,49.0,,5.0,25.0,106.0,12.37,167.175.202.219,Honduras,25.0,7.0,1.0,False
14,Samuel CannonLynch,Male,william22@example.org,False,50.0,15.0,3.0,5.0,58.0,20.95,91.221.133.230,Mali,18.0,9.0,3.0,False
15,Brian GarciaWhite,Male,jhaynes@example.com,False,0.0,2.0,0.0,0.0,10.0,1.32,7.198.190.208,Burkina Faso,23.0,8.0,2.0,True
16,Gregory GarciaHinton,Male,barberjoshua@example.com,False,45.0,30.0,6.0,21.0,104.0,,196.220.124.86,,12.0,6.0,3.0,False
17,Peter MillerPotter,Male,danielsjenna@example.org,True,55.0,62.0,1.0,3.0,143.0,28.3,74.187.26.14,Equatorial Guinea,17.0,7.0,1.0,False
18,Donna BlevinsJones,Female,kimnathan@example.net,True,34.0,,,20.0,138.0,24.74,78.230.243.158,Estonia,10.0,10.0,2.0,False
19,,Male,martinjoseph@example.net,True,70.0,55.0,3.0,18.0,122.0,19.19,146.106.7.56,Qatar,12.0,8.0,0.0,False
20,Patricia Kelly MDWhitehead,Female,fmiller@example.net,False,0.0,3.0,0.0,0.0,4.0,0.83,155.104.209.70,China,19.0,9.0,1.0,True
21,Jeffrey Bishop MDHumphrey,Male,lindsey26@example.net,False,19.0,25.0,1.0,19.0,95.0,20.46,166.25.146.188,El Salvador,10.0,9.0,,False
22,Donald JohnsRoberts,Male,walkerjennifer@example.net,False,21.0,115.0,3.0,13.0,119.0,12.5,109.121.14.158,Gambia,24.0,,2.0,
23,Gregory WilliamsStone,Male,nicolehunt@example.com,False,3.0,84.0,3.0,6.0,127.0,25.98,151.36.255.213,Saudi Arabia,18.0,6.0,2.0,False
24,Rita WatersAcosta,Female,tinasampson@example.net,True,38.0,,4.0,21.0,76.0,8.83,39.49.73.58,Sao Tome and Principe,11.0,,1.0,False
25,Thomas MitchellJohnson,Male,cwalsh@example.org,False,2.0,0.0,0.0,1.0,4.0,1.49,92.206.224.105,Jordan,15.0,9.0,0.0,True
26,Pamela JonesSantiago,Female,robertmiller@example.com,False,57.0,120.0,7.0,19.0,90.0,25.4,148.63.150.160,,19.0,6.0,0.0,False
27,Steven RomeroJones,Male,wyoung@example.com,False,2.0,2.0,0.0,0.0,7.0,0.96,60.230.212.248,Portugal,11.0,7.0,2.0,True
28,Regina JohnsonWade,Female,ihoward@example.org,True,65.0,97.0,3.0,13.0,144.0,22.54,210.131.185.160,Tonga,25.0,7.0,3.0,False
29,Robert SmithGonzalez,Male,rochakaitlyn@example.net,False,29.0,17.0,7.0,24.0,53.0,27.8,140.124.79.91,Greenland,24.0,10.0,2.0,False
30,Anthony GalvanLucas,Male,hortonluis@example.org,False,2.0,2.0,,,1.0,0.6,164.57.209.135,Portugal,25.0,6.0,3.0,True
31,Michael EllisSexton,Male,weberjohn@example.net,False,0.0,2.0,0.0,0.0,0.0,0.4,201.254.225.13,Bolivia,18.0,6.0,2.0,True
32,Keith BlankenshipRodriguez,Male,garciajason@example.net,,10.0,36.0,6.0,23.0,34.0,21.25,151.219.7.131,Zimbabwe,11.0,9.0,0.0,False
33,Angela ScottRodriguez,,wheelerbrittany@example.org,False,0.0,0.0,0.0,,7.0,,219.141.254.23,Sudan,19.0,8.0,0.0,True
34,David GilbertReed,Male,,True,58.0,62.0,4.0,3.0,73.0,,133.91.182.98,Burkina Faso,13.0,6.0,0.0,False
35,Aaron CabreraDavis,Male,jenniferjohnson@example.com,,,37.0,0.0,19.0,76.0,16.36,179.192.37.76,Mexico,19.0,3.0,1.0,False
36,,Male,stephanie42@example.net,True,61.0,68.0,0.0,13.0,138.0,9.0,157.101.236.71,Poland,,,3.0,False
37,Jeff VaughnEvans,Male,wstewart@example.com,False,9.0,112.0,6.0,15.0,77.0,27.99,159.86.115.217,Bolivia,22.0,10.0,1.0,False
38,Randy RamirezGreen,Male,lucas10@example.org,False,64.0,54.0,6.0,8.0,141.0,24.28,193.1.192.224,South Africa,16.0,7.0,2.0,False
39,Scott MooreOrozco,Male,kennethhammond@example.com,False,0.0,0.0,0.0,,11.0,0.36,105.243.207.187,Spain,14.0,5.0,1.0,True
40,Christopher YoungSmith,Male,traci31@example.net,False,1.0,2.0,0.0,,9.0,0.5,13.95.52.101,Bangladesh,20.0,3.0,3.0,True
41,Rebecca WrightBest,,nicole40@example.net,False,2.0,0.0,0.0,0.0,2.0,,199.171.113.113,Cuba,22.0,3.0,2.0,True
42,Eric HughesMason,Male,boyereric@example.org,False,,3.0,0.0,1.0,9.0,1.22,47.98.52.63,Iceland,22.0,3.0,3.0,True
43,Shawn NicholsonScott,Male,fwoods@example.net,False,38.0,75.0,4.0,21.0,123.0,21.39,159.194.206.31,Montserrat,11.0,10.0,2.0,False
44,John LeeHughes,Male,amanda36@example.org,False,48.0,34.0,2.0,18.0,74.0,23.29,183.222.175.14,Andorra,,4.0,0.0,False
45,Stephanie RobertsonLloyd,Female,maldonadosteven@example.com,True,12.0,107.0,,14.0,48.0,15.8,186.121.134.152,Mongolia,18.0,8.0,0.0,False
46,Jonathan FosterMurillo,Male,garzasteven@example.com,True,32.0,90.0,3.0,5.0,29.0,8.7,153.99.113.175,Cambodia,18.0,10.0,2.0,False
47,Morgan ParsonsMedina,Female,reneehensley@example.net,True,70.0,88.0,2.0,6.0,70.0,20.76,130.130.62.165,Belgium,15.0,,3.0,False
48,Alicia CobbTaylor,Female,stewartchristopher@example.org,False,60.0,,6.0,11.0,126.0,14.78,183.185.85.138,Niger,21.0,8.0,2.0,False
49,Steven RhodesJohnson,Male,teresawalker@example.net,False,45.0,91.0,4.0,13.0,67.0,10.17,157.132.97.3,Netherlands,19.0,8.0,3.0,False
50,Miguel MendezThompson,,timothydodson@example.net,False,1.0,3.0,0.0,1.0,,0.31,120.148.100.114,Saint Vincent and the Grenadines,20.0,5.0,0.0,True
51,Kelly BerryBlack,Female,ycardenas@example.net,False,27.0,,7.0,8.0,107.0,18.4,164.235.98.15,Saint Lucia,23.0,9.0,1.0,False
52,Steven DouglasSimmons,Male,gmurray@example.net,True,20.0,86.0,0.0,4.0,135.0,18.38,198.0.249.72,Comoros,14.0,7.0,1.0,False
53,Brendan MontgomeryVillarreal,Male,heatherbaker@example.net,True,18.0,38.0,3.0,,86.0,21.78,214.98.57.236,Zambia,21.0,3.0,2.0,False
54,Michael BrewerRay,Male,bowens@example.net,False,48.0,53.0,7.0,22.0,69.0,4.39,128.49.20.174,Malaysia,24.0,,3.0,False
55,,Female,,True,46.0,63.0,4.0,14.0,117.0,13.16,21.210.36.202,Guinea,25.0,10.0,0.0,False
56,Cassandra CharlesMitchell,Female,ryan73@example.net,False,1.0,1.0,0.0,1.0,2.0,1.41,139.89.220.246,Japan,18.0,5.0,0.0,True
57,Adam RichmondJordan,Male,huffmanjoshua@example.org,False,54.0,97.0,7.0,7.0,70.0,18.69,145.190.55.166,Qatar,13.0,3.0,3.0,False
58,Anthony OsborneNguyen,Male,adamsjohn@example.org,False,37.0,51.0,,17.0,83.0,9.64,8.205.70.27,Kiribati,20.0,7.0,2.0,False
59,Jerry AndersonWood,Male,greg18@example.com,True,63.0,35.0,7.0,23.0,80.0,7.0,154.92.142.243,France,24.0,3.0,3.0,False
60,James BerryTate,Male,kingdavid@example.com,True,17.0,29.0,5.0,12.0,41.0,16.52,217.255.220.21,Guyana,17.0,3.0,1.0,False
61,Kirk PetersenWilliams,Male,sierrabrown@example.net,False,26.0,91.0,6.0,21.0,42.0,23.73,204.194.244.197,Cook Islands,19.0,4.0,2.0,False
62,Erika HayesClay,Female,clarkjoseph@example.org,False,0.0,1.0,0.0,1.0,3.0,0.28,180.0.163.204,Bosnia and Herzegovina,16.0,3.0,1.0,True
63,Mr. Sean RodriguezNorman,Male,hannah34@example.com,False,39.0,23.0,1.0,8.0,92.0,15.41,153.141.73.177,Niger,22.0,7.0,2.0,False
64,Kevin RobbinsMcmillan,Male,jodi90@example.net,True,37.0,,7.0,,84.0,13.93,161.244.196.176,Brunei Darussalam,19.0,9.0,0.0,False
65,Brandon SmithCombs,,,False,50.0,4.0,4.0,,31.0,,37.98.19.16,Netherlands Antilles,15.0,7.0,2.0,False
66,Randall EdwardsGonzales,Male,,True,56.0,83.0,1.0,20.0,99.0,18.24,145.114.241.142,Bulgaria,,7.0,0.0,False
67,,Male,ybutler@example.com,False,19.0,73.0,7.0,7.0,55.0,28.1,150.204.10.251,Bouvet Island (Bouvetoya),18.0,8.0,2.0,False
68,Lindsay CopelandGilmore,Female,frankrussell@example.org,False,1.0,3.0,0.0,1.0,11.0,0.78,49.163.127.244,Indonesia,22.0,3.0,2.0,True
69,Brian RomeroDavis,Male,holly45@example.org,,9.0,10.0,4.0,8.0,47.0,16.79,147.20.9.113,Paraguay,25.0,8.0,1.0,False
70,Craig ClarkMorrison,Male,mcmahonkaren@example.net,False,1.0,0.0,0.0,1.0,13.0,1.67,102.169.213.58,Guadeloupe,23.0,9.0,0.0,True
71,Chris WaltersMiller,Male,natalie20@example.org,True,27.0,73.0,0.0,12.0,89.0,,121.50.8.184,Bulgaria,19.0,9.0,2.0,False
72,Kevin McleanWatson,Male,cnelson@example.net,,41.0,72.0,3.0,18.0,,13.75,46.159.34.158,Mali,12.0,10.0,1.0,False
73,Jorge FischerMathews,Male,deniseholmes@example.com,False,3.0,58.0,5.0,3.0,86.0,16.73,43.8.136.142,Iran,21.0,9.0,1.0,False
74,Donald SanchezMoreno,Male,pabbott@example.net,True,44.0,78.0,4.0,5.0,86.0,6.76,206.154.154.151,Reunion,18.0,9.0,0.0,
75,Thomas HensonHudson,Male,acoleman@example.net,True,51.0,59.0,6.0,12.0,30.0,17.6,189.180.201.204,Italy,23.0,4.0,3.0,False
76,Shawn CervantesThompson,Male,harrellbrittany@example.com,False,48.0,60.0,1.0,10.0,43.0,21.19,37.124.125.201,Spain,16.0,10.0,2.0,False
77,Erik JohnsonCortez,Male,danadavis@example.com,,31.0,111.0,0.0,13.0,28.0,22.4,171.140.42.89,Saint Kitts and Nevis,13.0,7.0,0.0,False
78,,Male,olivia50@example.net,False,0.0,3.0,0.0,1.0,13.0,0.43,20.112.153.86,Guinea,10.0,9.0,,True
79,Austin IbarraLeblanc,Male,beckdaniel@example.net,True,45.0,80.0,5.0,4.0,26.0,,49.93.25.173,Saint Vincent and the Grenadines,,5.0,2.0,False
80,Tyler BrownAnderson,Male,,False,3.0,106.0,5.0,25.0,93.0,4.99,197.221.127.28,,15.0,5.0,2.0,False
81,Mr. Michael HesterFernandez,Male,,False,,3.0,0.0,1.0,8.0,0.58,173.172.54.224,Botswana,,6.0,,True
82,Dennis ThorntonParker,Male,rodrigueznicole@example.com,False,54.0,15.0,2.0,9.0,144.0,13.34,193.51.35.156,Oman,15.0,9.0,0.0,False
83,Brian MartinBaldwin,Male,karen68@example.net,False,0.0,2.0,0.0,1.0,10.0,1.62,75.197.65.134,Botswana,11.0,10.0,2.0,True
84,Brian MejiaMeyer,Male,vasquezemily@example.com,False,1.0,1.0,0.0,1.0,11.0,1.57,84.248.248.99,Anguilla,16.0,,1.0,True
85,Anthony CrosbyGuzman,Male,kaylarubio@example.net,True,62.0,76.0,0.0,22.0,71.0,17.99,208.210.43.138,Latvia,11.0,4.0,3.0,False
86,Kelly HenryBaker,,perezjames@example.org,True,4.0,65.0,2.0,,74.0,27.2,128.145.58.176,Brunei Darussalam,25.0,10.0,3.0,False
87,Jon HolmesCoffey,Male,fordmatthew@example.com,False,25.0,13.0,4.0,25.0,143.0,20.15,106.0.75.152,Venezuela,13.0,5.0,3.0,False
88,Elijah TurnerHerrera,Male,kperkins@example.net,False,,88.0,0.0,18.0,118.0,10.7,221.231.10.172,Greenland,25.0,9.0,0.0,False
89,Tony Haas MDMitchell,Male,rebeccamcdaniel@example.com,True,53.0,69.0,3.0,,,,178.51.225.79,,25.0,4.0,3.0,False
90,Paul HenryLambert,Male,wclark@example.org,False,1.0,,0.0,1.0,9.0,0.42,24.169.132.92,Mauritania,10.0,,0.0,True
91,Ricky JacksonGibson,Male,olambert@example.com,False,1.0,3.0,0.0,1.0,11.0,1.49,124.113.197.149,Lithuania,12.0,3.0,3.0,True
92,Brandon WilliamsThomas,Male,rebeccawilliams@example.com,False,10.0,32.0,7.0,20.0,54.0,17.7,138.45.128.53,Sierra Leone,11.0,5.0,1.0,False
93,David ShieldsJackson,Male,elainedavidson@example.org,False,1.0,0.0,,0.0,9.0,1.0,180.243.120.55,Haiti,21.0,6.0,2.0,True
